name,singer,lyrics
Assez,Niagara,Mes voisins me réveillent le matin\nEt leur chien aboie pour un rien\nLe concierge boit comme un polonais\nMais il n'aime pas les étrangers\nMa télé est toujours détraquée\nLa tour Eiffel s'est effondrée\nLady Di s'est encore disputée\nJ'espère qu'elle n'est pas trop fâchée \n\nAssez\nJe crois que je deviens vraiment cinglée\nAutour de moi tout s'écroule\nAssez\nMais laissez-moi en paix à tout jamais\nJe vais bientôt perdre la boule \n\nLe journal m'annonce c'est la fin\nIl ne me reste que mon chagrin\nUn politicien mexicain\nMe promets tu verras demain\nUn paroissien me prend par la main\nIl me dit que c'est pour mon bien\nMais moi je ne veux surtout pas\nQue ces gens s'occupent de moi\n\nAssez\nJe crois que je deviens vraiment cinglée\nAutour de moi tout s'écroule\nAssez\nMais laissez-moi en paix à tout jamais\nJe vais bientôt perdre la boule \n\nLes indiens envahissent Pékin\nJe crois bien que je n'y peux rien\nMais je ne comprends pas pourquoi\nTout me tombe dessus à la fois\n\n(x 3)\nAssez\nJe crois que je deviens vraiment cinglée\nAutour de moi tout s'écroule\nAssez\nMais laissez-moi en paix à tout jamais\nJe vais bientôt perdre la boule
Assez assez,Julien Clerc,"Assez de ces machins pointus,\nDe tout c'qui blesse\nDe tout c'qui tue,\nCouteaux, coupe-coupe et balles perdues,\nAssez de ces machins pointus\n(Assez, assez, assez, assez)\n\nAssez de ces machins qui griffent,\nCrampons de foot, bijoux Van Cleef,\nTonton-macoutes, scouts à canifs,\nAssez de ces machins qui griffent\n(Assez, assez, assez, assez)\n\nFaut des ronds, faut des courbes,\nDes marchands d'marrons, rue Lecourbe\nFaut des ballons, des cerceaux\nEt les seins de Sophie Marceau\n(Assez, assez, assez, assez)\n\nAssez de ces machins qui piquent,\nSerpents-pythons et porcs-épics,\nDu hérisson microscopique,\nAssez de ces machins qui piquent\n(Assez, assez, assez, assez)\n\nFaut des ronds, faut des courbes,\nDes marchands d'marrons, rue Lecourbe\nFaut des ballons, des cerceaux\nEt les seins de Sophie Marceau\n\nBon, Cupidon est dispensé\nLes abeilles et les crustacés\nOK, mais pas les chiens dressés, (Assez, assez)\nLes pit-bulls et les verres cassés, (Assez, assez)\nLes cutters des cours de lycée, (Assez, assez)\nLes harponneurs de cétacés, (Assez, assez)\nTout ce qui blesse, oh, c'est assez (Assez, assez)\nEffacez tout, recommencez (Assez, assez) (x2)"
Assis par terre,Louisy Joseph,C'est dans les regards qu'on croise\nElle vous fait presser le pas\nC'est voir des visages à nos portes\nPlanqués derrière un judas\n\nC'est dans l'absence d'un sourire\nQui ne coûterait pas grand-chose\nC'est comme un clou qu'on enfonce\nUne violence à petites doses\n\nAssis par terre\nVoir le monde qui défile\nEt n'avoir pour domicile\nQu'un bout de trottoir assis par terre\nÊtre obligé de dire merci\nPour un euro ou même moins\nEt être seul à tendre la main\nÊtre le seul à tendre la main\n\nC'est dans les gestes qu'on attend plus\nOu qu'on se refuse de faire\nC'est dans nos quotidiens déçus\nQui nous rendent durs et amers\n\nC'est dans ces riens qui disent tout\nMais qu'on préfère encore taire\nYeah\n<br />\nAssis par terre\nVoir le monde qui défile\nEt n'avoir pour domicile\nQu'un bout de trottoir assis par terre\nÊtre obligé de dire merci\nPour un euro ou même moins\nEt être seul à tendre la main\nYeah\n<br />\nAssis par terre\nVoir le monde qui défile\nEt n'avoir pour domicile\nQu'un bout de trottoir assis par terre\nÊtre obligé de dire merci\nPour un euro ou même moins\nEt être seul à tendre la main\nÊtre le seul à tendre la main\n<br />\nC'est dans les regards qu'on croise\nElle vous fait presser le pas\nC'est voir des visages à nos portes\nPlanqués derrière un judas\n<br />\nAssis par terre\nVoir le monde qui défile\nEt n'avoir pour domicile\nQu'un bout de trottoir assis par terre\nÊtre obligé de dire merci\nPour un euro ou même moins\nEt être le seul et...\n<br />\nAssis par terre\nVoir le monde qui défile\nEt n'avoir pour domicile\nQu'un bout de trottoir assis par terre\nÊtre obligé de dire merci   (x 2)\nNon   (x 5)\nAssis par terre\nÊtre obligé de dire merci   (x 2)\nNon   (x 5)
Attention Mesdames et Messieurs,Michel Fugain et le Big Bazar ,"Attention mesdames et messieurs\nDans un instant on va commencer\nInstallez-vous dans votre fauteuil bien gentiment\n5-4-3-2-1-0 partez\nTous les projecteurs vont s'allumer\nEt tous les acteurs vont s'animer\nEn même temps\n\nAttention mesdames et messieurs\nC'est important, on va commencer\nC'est toujours la même histoire depuis la nuit des temps\nL'histoire de la vie et de la mort\nMais nous allons changer le décor\nEspérons qu'on la jouera encore dans deux mille ans\n\nNous avons 20 ans \nEt plein de chansons\nComme le printemps nous allons danser dans votre maison\nNotre pain est blanc\nNotre vin est bon\nSi vous le voulez c'est de bon cœur que nous partagerons\n\nAttention mesdames et messieurs\nDans un instant ça va commencer\nNous vous demandons évidemment d'être indulgents\nLe spectacle n'est pas bien rodé\nLaissez-nous encore quelques années\nIl ne pourra que s'améliorer au fil du temps\n\n[Instrumental]\n\nAttention mesdames et messieurs\nDans un instant ça va commencer\nInstallez-vous dans votre fauteuil bien gentiment\n5-4-3-2-1-0 partez\nTous les projecteurs vont s'allumer\nEt tous les acteurs vont s'animer\nEn même temps\n\nNous avons 20 ans \nEt plein de chansons\nComme le printemps nous allons danser dans votre maison\nNotre pain est blanc\nNotre vin est bon\nSi vous le voulez c'est de bon cœur que nous partagerons\n\nAttention mesdames et messieurs\nDans un instant on va commencer\nIl se peut que vous soyez choqués de temps en temps\nMais surtout ne vous inquiétez pas\nN'allez pas faire des signes de croix\nEt rappelez-vous qu'un jour\nVous avez eu 20 ans"
Attention au départ,Les Enfoirés,Attends   (x 6)\nAttention au départ\nDirection notre histoire\nLarguez les amarres\n1 2 3 4 pour un soir\nAccordez les guitares\nLes violons les regards\nSuivez l'étendard\n1 2 3 4 pour y croire \n\nJe sais danser\nMoi je sais chanter\nEt s'il fallait voler\nJ'essaierais j'apprendrais\nMoi je peux jouer\nOu vous étonner\nSi tel est votre désir\nJe peux tout essayer \n\nOn fait les beaux\nPour la vidéo\nOn est les pros des trémolos\nMoi j'connais des tours\nMoi j'joue du tambour\nChanter les peines et puis l'amour \n\nAttends   (x 6)\nAttention au départ\nDirection notre histoire\nLarguez les amarres\n1 2 3 4 pour un soir\nAccordez les guitares\nLes violons les regards\nSuivez l'étendard\n1 2 3 4 pour y croire \n\nMoi je peux séduire\nVous attendrir\nJe pourrais peut-être aussi vous faire rougir\nMoi je sais mentir\nDentelle ou cuir\nBouger dans tous les sens à votre bon plaisir\n\nNous étions deux\nPuis 20 puis 3000\nNous serons bientôt des millions\nCracheurs de feu\nFêlés sur un fil\nÀ fond les lumières et le son \n<br />\nAttends   (x 12)\nAttention au départ\nDirection notre histoire\nLarguez les amarres\n1 2 3 4 pour un soir\nAccordez les guitares\nLes violons les regards\nSuivez l'étendard\n1 2 3 4 pour y croire\n \n\nAttention au départ\nLarguez les amarres\n1 2 3 4 pour un soir\nAccordez les guitares\nSuivez l'étendard\n1 2 3 4 pour y croire
Au bord de l'eau,Gérald de Palmas,Dans le jour à peine éclos\nAlors qu'il fait déjà chaud\nJe suis parti\nNe pas affronter la ville\nJe ferai le tour de l'île\nC'est mieux ainsi \n\nAu bord de l'eau\nIl y a cette fille qui m'appelle \nElle me trouve beau\nAu bord de l'eau\nJe passe des heures avec elle\nSans dire un mot \n\nOn ne me remarque plus\nUne ombre au coin de la rue\nUn être à part\nOn s'amuse on me plaint\nRien de tout ça ne m'atteint\nOh non car quelque part\n \n\nEt au bord de l'eau\nIl y a cette fille qui m'appelle \nElle me trouve beau\nAu bord de l'eau \nJe passe des heures avec elle\nSans dire un mot\n \n\nJ'ai passé tellement de temps à faire mon intéressant\nQu'un soir je me suis perdu\nVoilà ce que je vais faire \nAller au bout de la terre\nL'océan à perte de vue \n\nEt au bord de l'eau\nIl y a cette fille qui m'appelle (qui m'appelle) \nElle me trouve beau (elle me trouve beau)\nAu bord de l'eau \nJe passe des heures avec elle\nSans dire un mot   (sans dire un mot)\nSans dire un mot
Au bout de mes rêves,Jean-Jacques Goldman,Et même si le temps presse\nMême s'il est un peu court\nSi les années qu'on me laisse\nNe sont que minutes et jours \n\nEt même si l'on m'arrête\nOu s'il faut briser des murs\nEn soufflant dans des trompettes\nOu à force de murmures \n\nJ'irai au bout de mes rêves\nTout au bout de mes rêves\nJ'irai au bout de mes rêves\nOù la raison s'achève\nTout au bout de mes rêves\nJ'irai au bout de mes rêves\nTout au bout de mes rêves\nOù la raison s'achève\nTout au bout de mes rêves \n\nEt même s'il faut partir\nChanger de terre ou de trace\nS'il faut chercher dans l'exil\nL'empreinte de mon espace \n\nEt même si les tempêtes\nLes dieux mauvais les courants\nNous feront courber la tête\nPlier genoux sous le vent \n\nJ'irai au bout de mes rêves\nTout au bout de mes rêves\nJ'irai au bout de mes rêves\nOù la raison s'achève\nTout au bout de mes rêves\nJ'irai au bout de mes rêves \n\nEt même si tu me laisses\nAu creux d'un mauvais détour\nEn ces moments où l'on teste\nLa force de nos amours\n\nJe garderai la blessure\nAu fond de moi tout au fond\nMais au-dessus je te jure\nQue j'effacerai ton nom\n\nJ'irai au bout de mes rêves\nTout au bout de mes rêves\nJ'irai au bout de mes rêves\nOù la raison s'achève\nTout au bout de mes rêves\n\n(x 3)\nJ'irai au bout de mes rêves\nTout au bout de mes rêves\nOù la raison s'achève\nTout au bout de mes rêves
Au café des délices,Patrick Bruel,"Tes souvenirs se voilent\nÇa fait comme une éclipse\nUne nuit plein d'étoiles\nSur le port de Tunis\nLe vent de l'éventail\nDe ton grand-père assis\nAu café des délices \n\nTes souvenirs se voilent\nTu vois passer le tram\nEt la blancheur des voiles\nDes femmes tenant un fils\nEt l'odeur du jasmin\nQu'il tenait dans ses mains\nAu café des délices \n\nYalil yalil habibi yalil   (x 3)\nYalil yalil yalil\n\nTes souvenirs se voilent\nTu la revois la fille\nLe baiser qui fait mal\nÀ port El-Kantaoui\nLes premiers mots d'amour\nSur des chansons velours\nHabibi habibi \n\nTes souvenirs se voilent\nTu les aimais ces fruits\nLes noyaux d'abricots\nPour toi c'étaient des billes\nEt les soirées de fête\nQu'on faisait dans nos têtes\nAux plages d'Hammamet \n\nYalil yalil habibi yalil   (x 7)\nYalil yalil (habibi) yalil \n\n[Instrumental]\n\nTes souvenirs se voilent\nÀ l'avant du bateau\nEt ce quai qui s'éloigne\nVers un monde nouveau\nUne vie qui s'arrête\nPour un jour qui commence\nC'est peut-être une chance \n\nYalil yalil\nTu n'oublieras pas\nYalil yalil\nCes parfums d'autrefois\nYalil yalil\nTu n'oublieras pas\nYalil yalil\nMême si tu t'en vas \n\nYalil yalil habibi yalil   (x 5)\nYalil yalil (habibi) yalil \n\nUne nuit plein d'étoiles\nSur le port de Tunis\nEt la blancheur des voiles\nDes femmes tenant un fils\nLe vent de l'éventail\nDe ton grand-père assis\nEt l'odeur du jasmin\nQu'il tenait dans ses mains\nAu café des délices\n\n[Instrumental + chœurs]  \n\nAu café des délices\nYalil, yalil\nAu café des délices\nYalil (ad lib.)"
Au fur et à mesure,Liane Foly,Je t'écris des mots purs\nJ'ai gommé les ratures\nEt là sur le papier \nJ'ai effacé tes fautes \nAu fur et à mesure\n\nC'est pas d'la grande écriture\nJuste un peu de lecture\nQuelques instants volés\nQui se sont envolés\nAu fur et à mesure\n\nEt\nSi le facteur assure\nAvec deux fois rien\nOn peut aller très loin\nJe serai là demain\nEt de tes mains\nTu vas me décolleter\nMe décacheter et me déshabiller\nAu fur et à mesure\n\nJe n'suis pas vraiment sûre\nQu'aucune éclaboussure\nDe tes yeux jaillira\nLorsque tu me liras\nAu fur et à mesure\n\nD'aventure en rupture\nJ'ai connu des fractures\nMais ma plus belle bavure\nC'est de t'avoir laissé\nAu fur et à mesure\n\nEt si le facteur assure\nAvec deux fois rien\nTu peux aller plus loin\nTu seras là demain\nEt de mes mains\nTe désenvelopper\nTe décacheter\nEt te déshabiller\nAu fur et à mesure\n\n[Instrumental]\n\nEt si le facteur assure\nAvec deux fois rien\nOn peut aller très loin\nOn sera là demain\nEt de nos mains\nSe désenvelopper\nSe décacheter \nEt se déshabiller\nAu fur et à mesure\n\nJe t'écris des mots purs\nJ'ai gommé les ratures\nEt là sur le papier \nJ'ai effacé mes fautes \nAu fur et à mesure   (x 5)
Au nom de la rose,Moos,La belle au bois\nVient de rendre l'âme\nMais je serai son homme\nÀ travers toutes ces femmes\nOui esprit es-tu là ?\nAu rendez-vous des libertins\nJ'ai pris avec moi\nDes femmes jusqu'au petit matin \n\nAu nom de la rose\nMon amie la femme\nPrête-moi ton corps\nPour écrire des choses\nÀ celle qui m'attend au ciel et que j'adore\n\nAu nom de la rose\nMon amie la femme\nPrête-moi ton corps\nOuvrez vos maisons closes\nÀ celle qui descend du ciel et que j'adore \n\nTu étais l'héritière\nDu péché originel\nReviens sur Terre\nOh me redonnez le goût du sel\nHabite leur corps\nTu as les plus belles croupes\nQue j'ai posé sur un lit de cristal\nHabite leur corps\nNous allons être ce couple\nQui va oser se prendre avec des griffes de métal \n\nAu nom de la rose\nMon amie la femme \nPrête-moi ton corps\nPour écrire des choses\nÀ celle qui m'attend au ciel et que j'adore\n\nAu nom de la rose\nMon amie la femme\nPrête-moi ton corps\nOuvrez vos maisons closes\nÀ celle qui descend du ciel et que j'adore \n\nMatérialise-toi\nDans un moule de chair\nOn réalisera ce qui t'est le plus cher \n\nAu nom de la rose\nMon amie la femme\nPrête-moi ton corps\nOuvrez vos maisons closes\nÀ celle qui descend du ciel et que j'adore
Au paradis,Gérald de Palmas,"Comment peux-tu vivre avec ce type\nComment fais-tu pour écouter\nLe monceau de bêtises qu'il débite\nSans arrêt à longueur de journée\n\nTu as gagné ta place au paradis\nEt si un ange passe, pars avec lui\nTu as gagné ta place au paradis\nAu paradis\n\nTe fait-il des choses venues de l'espace\nOu peut-être est-il juste le premier\nMais honnêtement, rien ne justifie\nLe calvaire que tu dois endurer\n\nTu as gagné ta place au paradis\nEt si un ange passe, pars avec lui\nTu as gagné ta place au paradis\nAu paradis\n\nUn jour ou l'autre il faudra que tu partes\nQuand les enfants auront grandi\nVivre seule sans le bellâtre\nC'est une question de survie\n\n(x 2)\nTu as gagné ta place au paradis\nEt si un ange passe, pars avec lui\nTu as gagné ta place au paradis\nAu paradis"
Au pays de Candy,Dominique Poulain,Au pays de Candy\nComme dans tous les pays\nOn s'amuse on pleure on rit\nIl y a des méchants et des gentils\n\nEt pour sortir des moments difficiles\nAvoir des amis c'est très utile\nUn peu d'astuces d'espièglerie\nC'est la vie de Candy\n\nMais elle rêve et elle imagine\nTous les soirs en s'endormant\nQue le petit prince des collines\nVient lui parler doucement\n\nPour chasser sa tristesse\nElle cherche la tendresse\nCâline et taquine toujours jolie\nC'est Candy Candy
Au pays des merveilles de Juliet,Yves Simon,Vous marchiez Juliet au bord de l'eau\nVos quatre ailes rouges sur le dos\nVous chantiez Alice de Lewis Carroll\nSur une bande magnétique un peu folle \n<br />\nMaman on va cueillir des pâquerettes\nAu pays des merveilles de Juliet\nLa la la la la la la la la la (x2) \n<br />\nSur les vieux écrans de 68\nVous étiez Chinoise mangeuse de frites\nFerdinand Godard vous avait alpaguée\nDe l'autre côté du miroir d'un café\n \n\nMaman on va cueillir des pâquerettes\nAu pays des merveilles de Juliet\nLa la la la la la la la la la (x2) \n\nDans la tire qui mène à Hollywood\nVous savez bien qu'il faut jouer des coudes\nLes superstars les p'tites filles de Marlène\nVous coinceront Juliet dans la nuit américaine \n\n(x2)\nMaman on va cueillir des pâquerettes\nAu pays des merveilles de Juliet\nLa la la la la la la la la la (x2)
Au soleil,Jenifer,Ce qui ne me tue pas me rend forte\nOn pourrait en venir aux mains\nJe suis à celui qui me transporte\nJe reste tant que l'on me supporte\nOu je reprends seule le chemin\nMalgré les risques que cela comporte\nAvec toi j'irais bien\nMême sans toi j'irais bien \n\n(x 2)\nAu soleil\nM'exposer un peu plus au soleil\nQuand le cœur n'y est plus\nBrûler ce que l'on adore\nEt réchauffer son corps\n\nMalgré tout l'amour que je te porte\nToi tu n'y entends vraiment rien\nNotre histoire que le diable l'emporte\nAvec toi j'irais bien\nMême sans toi j'irais bien \n\n(x 2)\nAu soleil\nM'exposer un peu plus au soleil\nQuand le cœur n'y est plus\nBrûler ce que l'on adore\nEt réchauffer son corps \n\nEt réchauffer son corps \n\n(x 3)\nAu soleil\nM'exposer un peu plus au soleil\nQuand le cœur n'y est plus\nBrûler ce que l'on adore\nEt réchauffer son corps\n\nAu soleil   (x 2)
Aujourd'hui peut-être,Fernand Sardou,"Devant ma maison y a un pin terrible\nDont la grosse branche pourrait bien tomber\nSur mon pauvre toit quelle belle cible\nCette branche-là je vais la couper\nAujourd'hui peut-être ou alors demain\nCe sacré soleil me donne la flemme\nJe la couperai té après-demain\nEt si je peux pas la couper moi-même\nJe demanderai à l'ami Tonin\nQui la coupera aussi bien lui-même\nCe n'est pas qu'on soit feignants par ici\nMais il fait si chaud dans notre midi\n\nJ'ai de beaux lapins, des lapins superbes\nMais ils ont toujours envie de manger\nIl faut tout le temps leur couper de l'herbe\nEt je devrais bien leur en ramasser\nAujourd'hui peut-être ou alors demain\nCe sacré soleil me donne la flemme\nJ'en ramasserai après-demain\nEt si je peux pas en couper moi-même\nEt je lâcherai tous mes beaux lapins\nQui la couperont aussi bien eux-mêmes \nCe n'est pas qu'on soit feignant par ici\nMais la terre est basse dans notre midi\n\nLe soir de mes noces avec Thérèse\nQuand on s'est trouvés tout déshabillés\nEn sentant frémir son beau corps de braise\nJe me suis pensé je vais l'embrasser\nAujourd'hui peut-être ou alors demain\nMoi les émotions ça me rend tout blême\nJe demanderai à l'ami Tonin\nQui pourra très bien l'embrasser lui-même\nMais soudain ça m'a pris au petit matin\nOn était déchaînés, chez nous quand on aime\nEt deux mois après j'avais trois petits\nNous sommes les rois dans notre midi"
